REPORT,PLATFORM,OWNER,IMAGE_LINK,HTML_LINK,CSV_LINK,DATE_EXTRACT
Top fans,LinkedIn,Florent Ravenel,,,,2022-07-18 09:07:50
New fans,LinkedIn,Florent Ravenel,,,,2022-07-18 09:07:50
Comments,YouTube,,https://public.naas.ai/ZmxvcmVudC00MG5hYXMtMkVhaQ==/asset/9f9d9ee5040d307504bcd22de19076f4728590ce31fef85ed73cf63f30b6.png,,https://public.naas.ai/ZmxvcmVudC00MG5hYXMtMkVhaQ==/asset/aea67acdea4096c71ac2528845efa6a2c3be714ce9f174bb520071ed6189,2022-07-18 09:07:50
Connections,LinkedIn,Florent Ravenel,https://public.naas.ai/ZmxvcmVudC00MG5hYXMtMkVhaQ==/asset/747bf9169b7dd5d6ccc7eab1e7405ea808b4f812f3c56336f5e95127e62c.png,https://public.naas.ai/ZmxvcmVudC00MG5hYXMtMkVhaQ==/asset/ac6ed7c258f1d85c9537d0b1dcfb7c3a030849484cd81082d59f57711e38,https://public.naas.ai/ZmxvcmVudC00MG5hYXMtMkVhaQ==/asset/80776003e51aaaa10b4ebc4f63c8aa89c4f1c4709dcdd3b92e3e1109f565,2022-07-18 09:07:50
Posts,LinkedIn,Florent Ravenel,https://public.naas.ai/ZmxvcmVudC00MG5hYXMtMkVhaQ==/asset/0f221e2ef26f1a5a445a15acd57e37e47bf23a26c489ffd1e7132e36debe.png,https://public.naas.ai/ZmxvcmVudC00MG5hYXMtMkVhaQ==/asset/b8f06da77c8bcf4bb7791c5cc0a05a1f056164360dd22db1d53ef86e01ad,https://public.naas.ai/ZmxvcmVudC00MG5hYXMtMkVhaQ==/asset/af3b3e3a03f8222a57a7780e85ddf7488313cdb472cbb0576cce1dcddd6a,2022-07-18 09:07:50
Views,LinkedIn,Florent Ravenel,https://public.naas.ai/ZmxvcmVudC00MG5hYXMtMkVhaQ==/asset/b9900a45fbeb28687913bc5051fa295eedf156ca5cac7c66283fa9b6cd40.png,https://public.naas.ai/ZmxvcmVudC00MG5hYXMtMkVhaQ==/asset/5da1de5d78e1830e63b62190958de058a943c285a13eef47dc09fd48d523,https://public.naas.ai/ZmxvcmVudC00MG5hYXMtMkVhaQ==/asset/2a3d0262c57f9f037e3bcb96fc6684a814e26535e8452c90224a26da86f9,2022-07-18 09:07:50
Likes,LinkedIn,Florent Ravenel,https://public.naas.ai/ZmxvcmVudC00MG5hYXMtMkVhaQ==/asset/3bf274a94904161a3cf5dda49c8aadcd0da66ce6dfb2149ec4bdbba5876f.png,https://public.naas.ai/ZmxvcmVudC00MG5hYXMtMkVhaQ==/asset/49ea7cbac93a29839f0ddcb3d81539642646ba725e08c211848fa9729cf0,https://public.naas.ai/ZmxvcmVudC00MG5hYXMtMkVhaQ==/asset/5370245dfdcd875098543cfa03a6bfb4cc67299a074dfc5a2a5558f3628c,2022-07-18 09:07:50
Comments,LinkedIn,Florent Ravenel,https://public.naas.ai/ZmxvcmVudC00MG5hYXMtMkVhaQ==/asset/281f81d55b6c665fe00718328bcd1b2f49b170f03e9be5faa30280f41cc3.png,https://public.naas.ai/ZmxvcmVudC00MG5hYXMtMkVhaQ==/asset/1a903578fc2f6ccbfe3112542f9cc2faaa31d09250b75032fe021d3bf0f0,https://public.naas.ai/ZmxvcmVudC00MG5hYXMtMkVhaQ==/asset/2bcdbb50d7bc262eb5bd40d792d81e7c8adc5a853578318f45cfb92e757c,2022-07-18 09:07:50
Engagements,LinkedIn,Florent Ravenel,https://public.naas.ai/ZmxvcmVudC00MG5hYXMtMkVhaQ==/asset/d1d9bfadeae1090de51497872b75be1f04492d8f3616ce71f8ce7167ee2e.png,https://public.naas.ai/ZmxvcmVudC00MG5hYXMtMkVhaQ==/asset/39cdf8c2730ed051238e6244646411f3e2f2058a65eea091442ca1580b47,https://public.naas.ai/ZmxvcmVudC00MG5hYXMtMkVhaQ==/asset/e06f50e08f15058ac9a74add05e444ce57e7e061689d5e1eb5989b922ada,2022-07-18 09:07:50
Engagement rate,LinkedIn,Florent Ravenel,https://public.naas.ai/ZmxvcmVudC00MG5hYXMtMkVhaQ==/asset/b81b4262a9c33b5901f4873d65954366411170851291b0f655b89e1f17d6.png,https://public.naas.ai/ZmxvcmVudC00MG5hYXMtMkVhaQ==/asset/d8f275eb14a01a14d84f6953b70567ff1d29d1bf8966a2a6e1be9e6001c2,https://public.naas.ai/ZmxvcmVudC00MG5hYXMtMkVhaQ==/asset/6fd0c7de5a7ef4675f5ca3ac544a3c6aa75651480a62a820913583e879f1,2022-07-18 09:07:50
Frequency,LinkedIn,Florent Ravenel,https://public.naas.ai/ZmxvcmVudC00MG5hYXMtMkVhaQ==/asset/09d5e3e48eaadedd99ea05922880d05edbd55b5c556f7801fa2a704f5429.png,https://public.naas.ai/ZmxvcmVudC00MG5hYXMtMkVhaQ==/asset/36d06309277281e90cd40ed8fdbe8c337b534d4bdf6b6c4c030a43509bd0,https://public.naas.ai/ZmxvcmVudC00MG5hYXMtMkVhaQ==/asset/be3d24eafaa101b6866eeddce0e03316140d4598f2e085fc72974135516a,2022-07-18 09:07:50
Views reach,LinkedIn,Florent Ravenel,https://public.naas.ai/ZmxvcmVudC00MG5hYXMtMkVhaQ==/asset/cb1e02bd4ce838ab85d0e4152a56f610a16b683668fdb75c3f92858d63de.png,https://public.naas.ai/ZmxvcmVudC00MG5hYXMtMkVhaQ==/asset/8ab4b83ae60f303745ea1e1536405e0127cf85978b916373672e551a38dd,https://public.naas.ai/ZmxvcmVudC00MG5hYXMtMkVhaQ==/asset/bfd2249d2f0b47b4afe517782937392206a467b61d54b85c35fe3e23b073,2022-07-18 09:07:50
World cloud,LinkedIn,Florent Ravenel,https://public.naas.ai/ZmxvcmVudC00MG5hYXMtMkVhaQ==/asset/60c07e50b3ce8a85c6d0056ac84665eea8493cf69c16928e9e7e0454964c.png,,,2022-07-18 09:07:50
Followers,LinkedIn,naas.ai,https://public.naas.ai/ZmxvcmVudC00MG5hYXMtMkVhaQ==/asset/7c9ea84d057e58e8c91907c6d20a37bd60226ca7cf5b7be3c4bc1831472f.png,https://public.naas.ai/ZmxvcmVudC00MG5hYXMtMkVhaQ==/asset/52f7f800b313fac4293efbd0a1f87e1c4890901af27a668de51093756789,https://public.naas.ai/ZmxvcmVudC00MG5hYXMtMkVhaQ==/asset/227de9067d716446bf862b164533a87fa1020c65363e8a67ffcdb981338b,2022-07-18 09:07:50
